"actor","action","endpoint_or_method","permission","automated_or_manual","notes","source_file"
"user_api_build","build_ve_increase","POST /api/v1/build/ve4626/increase","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ve_unlock","POST /api/v1/build/ve4626/unlock","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_borrow","POST /api/v1/build/ajna/borrow","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_repay","POST /api/v1/build/ajna/repay","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_add_collateral","POST /api/v1/build/ajna/addCollateral","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_remove_collateral","POST /api/v1/build/ajna/removeCollateral","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_set_min_bucket","POST /api/v1/build/ajna/setMinBucketIndex","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_set_idle_buffer","POST /api/v1/build/ajna/setIdleBufferBps","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_charm_vault","POST /api/v1/build/charm/setCharmVault","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_swap_pool","POST /api/v1/build/charm/setSwapPool","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_uni_factory","POST /api/v1/build/charm/setUniFactory","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_auto_fee_tier","POST /api/v1/build/charm/setAutoFeeTier","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_parameters","POST /api/v1/build/charm/setParameters","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_active","POST /api/v1/build/charm/setActive","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_initialize_approvals","POST /api/v1/build/charm/initializeApprovals","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_rebalance","POST /api/v1/build/charm/rebalance","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_owner_emergency_withdraw","POST /api/v1/build/charm/ownerEmergencyWithdraw","owner role expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_owner_emergency_withdraw_from_charm","POST /api/v1/build/charm/ownerEmergencyWithdrawFromCharm","owner role expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_vault_rebalance","POST /api/v1/build/charm/vault/rebalance","manager/delegate expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_vault_set_strategy","POST /api/v1/build/charm/vault/setStrategy","manager/owner expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"group_access","request_access_proof","POST /api/v1/agents/access-proof/request","authenticated","manual","Generates signable room proof payload","frontend/api/_handlers/_routes.v1.ts"
"group_access","verify_access_proof","POST /api/v1/agents/access-proof/verify","signed proof","manual","Issues short-lived room token","frontend/api/_handlers/_routes.v1.ts"
"group_access","xmtp_join_instructions","POST /api/v1/agents/xmtp/join","valid room token","manual","XMTP join instructions","frontend/api/_handlers/_routes.v1.ts"
"group_access","telegram_join_instructions","POST /api/v1/agents/telegram/join","valid room token","manual","Telegram join instructions","frontend/api/_handlers/_routes.v1.ts"
"group_access","keepr_join","POST /api/keepr/join","signed join proof","manual/hybrid","Checks gating and may enqueue add_member","frontend/api/_handlers/keepr/_join.ts"
"group_access","keepr_join_status","GET /api/keepr/joinStatus","context dependent","manual","Join request status","frontend/api/_handlers/_routes.keepr.ts"
"group_access","keepr_nonce","GET /api/keepr/nonce","context dependent","manual","Join proof nonce","frontend/api/_handlers/_routes.keepr.ts"
"agent_command","start","/start","all users","manual","Open bot home","frontend/server/commands/families/keepr.ts"
"agent_command","help","/help [topic]","all users","manual","Command tree and topics","frontend/server/commands/families/keepr.ts"
"agent_command","link","/link","all users","manual","Link Telegram to 4626 account","frontend/server/commands/families/keepr.ts"
"agent_command","linked","/linked","all users","manual","Link status","frontend/server/commands/families/keepr.ts"
"agent_command","id","/id","group","manual","Shows IDs","frontend/server/commands/families/keepr.ts"
"agent_command","buy","/buy","all users","manual","Guided buy","frontend/server/commands/families/keepr.ts"
"agent_command","sell","/sell","all users","manual","Guided sell","frontend/server/commands/families/keepr.ts"
"agent_command","bid","/bid","all users","manual","Guided bid","frontend/server/commands/families/keepr.ts"
"agent_command","vaults","/vaults","all users","manual","Lists vaults","frontend/server/commands/families/keepr.ts"
"agent_command","auctions","/auctions","all users","manual","Lists auctions","frontend/server/commands/families/keepr.ts"
"agent_command","wallet","/wallet","all users","manual","Wallet summary","frontend/server/commands/families/keepr.ts"
"agent_command","whois","/whois <address>","all users","manual","ENS/Basename identity lookup","frontend/server/commands/families/keepr.ts"
"agent_command","intel","/intel <address>","all users","manual","Wallet intelligence report","frontend/server/commands/families/keepr.ts"
"agent_command","reputation","/reputation [agentId]","all users","manual","Reputation graph","frontend/server/commands/families/keepr.ts"
"agent_command","feedback","/feedback [agentId]","all users","manual","Feedback summary","frontend/server/commands/families/keepr.ts"
"agent_command","send_usdc","/send <amount> USDC to <address>","ADMIN/OWNER + configured vault","manual","Transfer command with rate limits and caps","frontend/server/commands/families/keepr.ts"
"agent_command","send_eth","/send <amount> ETH to <address>","ADMIN/OWNER + configured vault","manual","Transfer command with rate limits and caps","frontend/server/commands/families/keepr.ts"
"agent_command","ai","/ai <question>","all users","manual","Conversational command","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_check","/coin trend check <ticker>","all users","manual","Trend preflight","frontend/server/commands/families/keepr.ts"
"agent_command","coin_create","/coin create <name> <symbol> <uri>","ADMIN + configured vault","manual","Create content coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_buy","/coin buy <address> <eth-amount>","configured vault","manual","Buy coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_sell","/coin sell <address> <amount>","configured vault","manual","Sell coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_balance","/coin balance","configured vault","manual","Agent wallet coin balances","frontend/server/commands/families/keepr.ts"
"agent_command","coin_info","/coin info <address>","configured vault","manual","Coin details","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_reserve","/coin trend reserve <ticker>","ADMIN + configured vault","manual","Deploy trend coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_status","/coin trend status <ticker>","configured vault","manual","Trend operation status","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_funnel","/coin trend funnel <ticker> <eth-amount>","ADMIN + configured vault","manual","Guarded trend action","frontend/server/commands/families/keepr.ts"
"agent_command","x_status","/x status","configured vault","manual","Check X integration status","frontend/server/commands/families/keepr.ts"
"agent_command","x_post","/x post <message> --confirm","ADMIN + configured vault","manual","Post to X","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_status","/keepr status","group","manual","Vault runtime status","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_rules","/keepr rules","group","manual","Gating and join rules","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_check","/keepr check [wallet]","group","manual","Eligibility checks","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_lock","/keepr lock","OWNER","manual","Lock joins","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_unlock","/keepr unlock","OWNER","manual","Unlock joins","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_sync","/keepr sync","ADMIN/OWNER","manual","Request sync","frontend/server/commands/families/keepr.ts"
"agent_command","cre_status","/cre status","configured group","manual","Runtime status summary","frontend/server/commands/families/keepr.ts"
"agent_command","cre_auction","/cre auction","configured group","manual","Auction operational status","frontend/server/commands/families/keepr.ts"
"agent_command","cre_solana","/cre solana","configured group","manual","Solana health summary","frontend/server/commands/families/keepr.ts"
"agent_command","cre_health","/cre health","configured group","manual","Combined health","frontend/server/commands/families/keepr.ts"
"agent_command","cre_tend","/cre tend [vault]","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","cre_report","/cre report [vault]","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","cre_settle_fees","/cre settle-fees","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","cre_relay_entries","/cre relay-entries","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"onchain_method","vault_tend","CreatorOVault.tend()","keeper","automated","Idle funds deployment","cre/actions/vault-keeper.action.ts"
"onchain_method","vault_report","CreatorOVault.report()","keeper","automated","Harvest/report yields","cre/actions/vault-keeper.action.ts"
"onchain_method","payout_convert_and_queue","PayoutRouter.convertAndQueue()","keeper/owner path","automated","Routes payout balances","cre/actions/payout-router-harvest.action.ts"
"onchain_method","payout_claim_rewards","PayoutRouter.claimAllProtocolRewards()","keeper/owner path","automated","Optional protocol rewards claim","cre/actions/payout-router-harvest.action.ts"
"onchain_method","ajna_set_min_bucket","AjnaVaultAuth.setMinBucketIndex()","canonical CSW admin","automated","Ajna rebucket execution","cre/actions/ajna-bucket-manager.action.ts"
"onchain_method","charm_rebalance","CharmVault.rebalance()","manager/delegate/keeper context","automated","Charm rebalance","cre/actions/charm-rebalance-manager.action.ts"
"onchain_method","auction_sweep_currency","CCAStrategy.sweepCurrency()","permissionless","automated","Settlement phase","cre/actions/cca-finalization.action.ts"
"onchain_method","auction_migrate","CCAStrategy.migrate()","permissionless","automated","Settlement phase","cre/actions/cca-finalization.action.ts"
"onchain_method","auction_sweep_unsold","CCAStrategy.sweepUnsoldTokens()","permissionless","automated","Settlement phase","cre/actions/cca-finalization.action.ts"
"onchain_method","auction_finalize_failed","CCAStrategy.finalizeFailedAuction()","as configured","automated","Failure handling path","cre/actions/cca-finalization.action.ts"
"onchain_method","solana_process_entry","LotteryManager.processLotteryEntryFromSolana()","bridge relay authority","automated","Solana entry relay write","cre/actions/keepr-solana-relay-entries.action.ts"
"onchain_method","solana_receive_fee","...receiveFeeFromSolana()","bridge relay authority","automated","Solana fee settlement write","cre/actions/keepr-solana-settle-fees.action.ts"
