"actor","action","endpoint_or_method","permission","automated_or_manual","notes","source_file"
"user_api_build","build_ve_increase","POST /api/v1/build/ve4626/increase","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ve_unlock","POST /api/v1/build/ve4626/unlock","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_borrow","POST /api/v1/build/ajna/borrow","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_repay","POST /api/v1/build/ajna/repay","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_add_collateral","POST /api/v1/build/ajna/addCollateral","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_remove_collateral","POST /api/v1/build/ajna/removeCollateral","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_set_min_bucket","POST /api/v1/build/ajna/setMinBucketIndex","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_ajna_set_idle_buffer","POST /api/v1/build/ajna/setIdleBufferBps","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_charm_vault","POST /api/v1/build/charm/setCharmVault","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_swap_pool","POST /api/v1/build/charm/setSwapPool","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_uni_factory","POST /api/v1/build/charm/setUniFactory","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_auto_fee_tier","POST /api/v1/build/charm/setAutoFeeTier","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_parameters","POST /api/v1/build/charm/setParameters","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_set_active","POST /api/v1/build/charm/setActive","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_initialize_approvals","POST /api/v1/build/charm/initializeApprovals","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_rebalance","POST /api/v1/build/charm/rebalance","caller signs tx","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_owner_emergency_withdraw","POST /api/v1/build/charm/ownerEmergencyWithdraw","owner role expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_owner_emergency_withdraw_from_charm","POST /api/v1/build/charm/ownerEmergencyWithdrawFromCharm","owner role expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_vault_rebalance","POST /api/v1/build/charm/vault/rebalance","manager/delegate expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"
"user_api_build","build_charm_vault_set_strategy","POST /api/v1/build/charm/vault/setStrategy","manager/owner expected","manual","Build-only calldata","frontend/api/_handlers/_routes.v1.ts"

"group_access","request_access_proof","POST /api/v1/agents/access-proof/request","authenticated","manual","Generates signable room proof payload","frontend/api/_handlers/_routes.v1.ts"
"group_access","verify_access_proof","POST /api/v1/agents/access-proof/verify","signed proof","manual","Issues short-lived room token","frontend/api/_handlers/_routes.v1.ts"
"group_access","xmtp_join_instructions","POST /api/v1/agents/xmtp/join","valid room token","manual","XMTP join instructions","frontend/api/_handlers/_routes.v1.ts"
"group_access","telegram_join_instructions","POST /api/v1/agents/telegram/join","valid room token","manual","Telegram join instructions","frontend/api/_handlers/_routes.v1.ts"
"group_access","keepr_join","POST /api/keepr/join","signed join proof","manual/hybrid","Checks gating and may enqueue add_member","frontend/api/_handlers/keepr/_join.ts"
"group_access","keepr_join_status","GET /api/keepr/joinStatus","context dependent","manual","Join request status","frontend/api/_handlers/_routes.keepr.ts"
"group_access","keepr_nonce","GET /api/keepr/nonce","context dependent","manual","Join proof nonce","frontend/api/_handlers/_routes.keepr.ts"

"agent_command","start","/start","all users","manual","Open bot home","frontend/server/commands/families/keepr.ts"
"agent_command","help","/help [topic]","all users","manual","Command tree and topics","frontend/server/commands/families/keepr.ts"
"agent_command","link","/link","all users","manual","Link Telegram to 4626 account","frontend/server/commands/families/keepr.ts"
"agent_command","status","/status","all users","manual","Link status","frontend/server/commands/families/keepr.ts"
"agent_command","id","/id","group","manual","Shows IDs","frontend/server/commands/families/keepr.ts"
"agent_command","buy","/buy","all users","manual","Guided buy","frontend/server/commands/families/keepr.ts"
"agent_command","sell","/sell","all users","manual","Guided sell","frontend/server/commands/families/keepr.ts"
"agent_command","bid","/bid","all users","manual","Guided bid","frontend/server/commands/families/keepr.ts"
"agent_command","vaults","/vaults","all users","manual","Lists vaults","frontend/server/commands/families/keepr.ts"
"agent_command","auctions","/auctions","all users","manual","Lists auctions","frontend/server/commands/families/keepr.ts"
"agent_command","wallet","/wallet","all users","manual","Wallet summary","frontend/server/commands/families/keepr.ts"
"agent_command","whois","/whois <address>","all users","manual","ENS/Basename identity lookup","frontend/server/commands/families/keepr.ts"
"agent_command","intel","/intel <address>","all users","manual","Wallet intelligence report","frontend/server/commands/families/keepr.ts"
"agent_command","reputation","/reputation [agentId]","all users","manual","Reputation graph","frontend/server/commands/families/keepr.ts"
"agent_command","feedback","/feedback [agentId]","all users","manual","Feedback summary","frontend/server/commands/families/keepr.ts"
"agent_command","send_usdc","/send <amount> USDC to <address>","ADMIN/OWNER + configured vault","manual","Transfer command with rate limits and caps","frontend/server/commands/families/keepr.ts"
"agent_command","send_eth","/send <amount> ETH to <address>","ADMIN/OWNER + configured vault","manual","Transfer command with rate limits and caps","frontend/server/commands/families/keepr.ts"
"agent_command","ai","/ai <question>","all users","manual","Conversational command","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_check","/coin trend check <ticker>","all users","manual","Trend preflight","frontend/server/commands/families/keepr.ts"
"agent_command","coin_create","/coin create <name> <symbol> <uri>","ADMIN + configured vault","manual","Create content coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_buy","/coin buy <address> <eth-amount>","configured vault","manual","Buy coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_sell","/coin sell <address> <amount>","configured vault","manual","Sell coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_balance","/coin balance","configured vault","manual","Agent wallet coin balances","frontend/server/commands/families/keepr.ts"
"agent_command","coin_info","/coin info <address>","configured vault","manual","Coin details","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_reserve","/coin trend reserve <ticker>","ADMIN + configured vault","manual","Deploy trend coin","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_status","/coin trend status <ticker>","configured vault","manual","Trend operation status","frontend/server/commands/families/keepr.ts"
"agent_command","coin_trend_funnel","/coin trend funnel <ticker> <eth-amount>","ADMIN + configured vault","manual","Guarded trend action","frontend/server/commands/families/keepr.ts"
"agent_command","x_status","/x status","configured vault","manual","Check X integration status","frontend/server/commands/families/keepr.ts"
"agent_command","x_post","/x post <message> --confirm","ADMIN + configured vault","manual","Post to X","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_status","/keepr status","group","manual","Vault runtime status","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_rules","/keepr rules","group","manual","Gating and join rules","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_check","/keepr check [wallet]","group","manual","Eligibility checks","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_lock","/keepr lock","OWNER","manual","Lock joins","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_unlock","/keepr unlock","OWNER","manual","Unlock joins","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_sync","/keepr sync","ADMIN/OWNER","manual","Request sync","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_status","/keepr status","configured group","manual","Runtime status summary","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_auction","/keepr auction","configured group","manual","Auction operational status","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_solana","/keepr solana","configured group","manual","Solana health summary","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_health","/keepr health","configured group","manual","Combined health","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_tend","/keepr tend [vault]","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_report","/keepr report [vault]","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_settle_fees","/keepr settle-fees","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"
"agent_command","keepr_relay_entries","/keepr relay-entries","ADMIN/OWNER","manual","Operational command","frontend/server/commands/families/keepr.ts"

"queue_api","enqueue","POST /api/keepr/actions/enqueue","Bearer KPR_API_KEY","manual/hybrid","Adds action to queue","frontend/api/_handlers/keepr/actions/_enqueue.ts"
"queue_api","pending","GET /api/keepr/actions/pending","Bearer KPR_API_KEY","automated","Reads pending/retry actions","frontend/api/_handlers/_routes.keepr.ts"
"queue_api","execute","POST /api/keepr/actions/execute","Bearer KPR_API_KEY","automated","Executes single action","frontend/api/_handlers/keepr/actions/_execute.ts"
"queue_api","update_status","POST /api/keepr/actions/updateStatus","Bearer KPR_API_KEY","automated","Updates action lifecycle state","frontend/api/_handlers/_routes.keepr.ts"
"queue_action","xmtp_add_member","actionType=xmtp.group.add_member","keepr action queue","automated","XMTP membership add","frontend/server/keepr/xmtpQueueExecutor.ts"
"queue_action","xmtp_remove_member","actionType=xmtp.group.remove_member","keepr action queue","automated","XMTP membership remove","frontend/server/keepr/xmtpQueueExecutor.ts"
"queue_action","xmtp_send_message","actionType=xmtp.group.send_message","keepr action queue","automated","XMTP message send","frontend/server/keepr/xmtpQueueExecutor.ts"
"queue_action","xmtp_sync_members","actionType=xmtp.group.sync_members","keepr action queue","automated","XMTP membership sync","frontend/server/keepr/xmtpQueueExecutor.ts"
"queue_action","strategy_ajna_rebucket","actionType=strategy.ajna.rebucket","canonical precheck + keepr action queue","automated","Executes setMinBucketIndex","frontend/server/keepr/xmtpQueueExecutor.ts"
"queue_action","strategy_charm_rebalance","actionType=strategy.charm.rebalance","keepr action queue + onchain auth","automated","Executes rebalance","frontend/server/keepr/xmtpQueueExecutor.ts"

"bridge","list_active_vaults","GET /api/vaults/active","Bearer KPR_API_KEY","automated","Vault registry view","frontend/api/_handlers/_routes.ts"
"bridge","keeper_tend","POST /api/keeper/tend","Bearer KPR_API_KEY","automated","Tend write bridge","frontend/api/_handlers/keeper/_tend.ts"
"bridge","keeper_report","POST /api/keeper/report","Bearer KPR_API_KEY","automated","Report write bridge","frontend/api/_handlers/keeper/_report.ts"
"bridge","keeper_sweep","POST /api/keeper/sweep","Bearer KPR_API_KEY","automated","Settlement write bridge","frontend/api/_handlers/keeper/_sweep.ts"
"bridge","keeper_mark_settled","POST /api/keeper/mark-settled","Bearer KPR_API_KEY","automated","Marks settlement stage","frontend/api/_handlers/_routes.ts"
"bridge","keeper_alert","POST /api/keeper/alert","Bearer KPR_API_KEY","automated","Alert forwarding","frontend/api/_handlers/_routes.ts"
"bridge","keeper_ai_assess","POST /api/keeper/aiAssess","Bearer KPR_API_KEY","automated","Assessment hook","frontend/api/_handlers/_routes.ts"
"bridge","keeper_solana_reconcile","POST /api/keeper/solana/reconcile","Bearer KPR_API_KEY","automated","Solana reconcile hook","frontend/api/_handlers/_routes.ts"

"workflow","unified_4626","workflows/4626.workflow.ts","workflow env+secrets","automated","Runs all core protocol automation tasks","workflows/4626.workflow.ts"
"workflow","vault_keeper","workflows/vault-keeper.workflow.ts","keeper authorization","automated","tend/report loop","workflows/vault-keeper.workflow.ts"
"workflow","payout_router_harvest","workflows/payout-router-harvest.workflow.ts","keeper authorization","automated","claim and convertAndQueue","workflows/payout-router-harvest.workflow.ts"
"workflow","ajna_bucket_manager","workflows/ajna-bucket-manager.workflow.ts","canonical Ajna context","automated","setMinBucketIndex policy loop","workflows/ajna-bucket-manager.workflow.ts"
"workflow","charm_rebalance_manager","workflows/charm-rebalance-manager.workflow.ts","onchain auth checks","automated","rebalance threshold loop","workflows/charm-rebalance-manager.workflow.ts"
"workflow","cca_finalization","workflows/cca-finalization.workflow.ts","permissionless strategy calls + checks","automated","sweep/migrate/sweepUnsold path","workflows/cca-finalization.workflow.ts"
"workflow","keepr_action_queue","workflows/keepr-action-queue.workflow.ts","queue API key + XMTP creds","automated","consume/execute/retry queue actions","workflows/keepr-action-queue.workflow.ts"
"workflow","strategy_signal_listener","workflows/strategy-signal-listener.workflow.ts","ws rpc + queue auth","automated","Enqueues deduped Ajna/Charm actions","workflows/strategy-signal-listener.workflow.ts"
"kpr_workflow","bridge_integrity_monitor","kpr/workflows/bridge-integrity-monitor.workflow.ts","monitor config","automated","Signer/route/scalar/liveness integrity","kpr/workflows/bridge-integrity-monitor.workflow.ts"
"kpr_workflow","solana_relay_entries","kpr/workflows/keepr-solana-relay-entries.workflow.ts","solana+base creds","automated","Relay Solana entries to Base","kpr/workflows/keepr-solana-relay-entries.workflow.ts"
"kpr_workflow","solana_settle_fees","kpr/workflows/keepr-solana-settle-fees.workflow.ts","solana+base creds","automated","Settle fees to Base gauge","kpr/workflows/keepr-solana-settle-fees.workflow.ts"
"kpr_workflow","solana_winner_relay","kpr/workflows/keepr-solana-winner-relay.workflow.ts","solana+base creds","automated","Relay winners Base to Solana","kpr/workflows/keepr-solana-winner-relay.workflow.ts"
"kpr_workflow","solana_graduation_sync","kpr/workflows/keepr-solana-graduation.workflow.ts","solana+base creds","automated","Close Alpha vault after graduation","kpr/workflows/keepr-solana-graduation.workflow.ts"
"kpr_workflow","solana_price_monitor","kpr/workflows/keepr-solana-price-monitor.workflow.ts","solana+base creds","automated","Price deviation monitor/recenter","kpr/workflows/keepr-solana-price-monitor.workflow.ts"

"onchain_method","vault_tend","CreatorOVault.tend()","keeper","automated","Idle funds deployment","kpr/actions/vault-keeper.action.ts"
"onchain_method","vault_report","CreatorOVault.report()","keeper","automated","Harvest/report yields","kpr/actions/vault-keeper.action.ts"
"onchain_method","payout_convert_and_queue","PayoutRouter.convertAndQueue()","keeper/owner path","automated","Routes payout balances","kpr/actions/payout-router-harvest.action.ts"
"onchain_method","payout_claim_rewards","PayoutRouter.claimAllProtocolRewards()","keeper/owner path","automated","Optional protocol rewards claim","kpr/actions/payout-router-harvest.action.ts"
"onchain_method","ajna_set_min_bucket","AjnaVaultAuth.setMinBucketIndex()","canonical CSW admin","automated","Ajna rebucket execution","kpr/actions/ajna-bucket-manager.action.ts"
"onchain_method","charm_rebalance","CharmVault.rebalance()","manager/delegate/keeper context","automated","Charm rebalance","kpr/actions/charm-rebalance-manager.action.ts"
"onchain_method","auction_sweep_currency","CCAStrategy.sweepCurrency()","permissionless","automated","Settlement phase","kpr/actions/cca-finalization.action.ts"
"onchain_method","auction_migrate","CCAStrategy.migrate()","permissionless","automated","Settlement phase","kpr/actions/cca-finalization.action.ts"
"onchain_method","auction_sweep_unsold","CCAStrategy.sweepUnsoldTokens()","permissionless","automated","Settlement phase","kpr/actions/cca-finalization.action.ts"
"onchain_method","auction_finalize_failed","CCAStrategy.finalizeFailedAuction()","as configured","automated","Failure handling path","kpr/actions/cca-finalization.action.ts"
"onchain_method","solana_process_entry","LotteryManager.processLotteryEntryFromSolana()","bridge relay authority","automated","Solana entry relay write","kpr/actions/keepr-solana-relay-entries.action.ts"
"onchain_method","solana_receive_fee","...receiveFeeFromSolana()","bridge relay authority","automated","Solana fee settlement write","kpr/actions/keepr-solana-settle-fees.action.ts"
